TOTAL_READS	EXPECTED_DISTINCT	LOWER_0.95CI	UPPER_0.95CI
2717000000.0	133141264.6	111769384.9	152285218.9
2718000000.0	133154966.2	111777317.9	152308297.9
2719000000.0	133168661.0	111785246.4	152331369.2
2720000000.0	133182349.2	111793170.4	152354432.7
2721000000.0	133196030.7	111801089.8	152377488.5
2722000000.0	133209705.5	111809004.7	152400536.5
2723000000.0	133223373.6	111816915.1	152423576.8
2724000000.0	133237035.1	111824821.0	152446609.3
2725000000.0	133250689.9	111832722.3	152469634.2
2726000000.0	133264338.0	111840619.2	152492651.3
2727000000.0	133277979.5	111848511.5	152515660.6
2728000000.0	133291614.3	111856399.4	152538662.3
2729000000.0	133305242.5	111864282.8	152561656.3
2730000000.0	133318864.0	111872161.6	152584642.5
2731000000.0	133332478.9	111880036.0	152607621.0
2732000000.0	133346087.1	111887905.9	152630591.9
2733000000.0	133359688.8	111895771.3	152653555.0
2734000000.0	133373283.8	111903632.3	152676510.5
2735000000.0	133386872.2	111911488.8	152699458.2
2736000000.0	133400454.0	111919340.8	152722398.3
2737000000.0	133414029.2	111927188.3	152745330.7
2738000000.0	133427597.7	111935031.4	152768255.5
2739000000.0	133441159.7	111942870.0	152791172.5
2740000000.0	133454715.1	111950704.2	152814081.9
2741000000.0	133468263.9	111958533.9	152836983.6
2742000000.0	133481806.1	111966359.2	152859877.7
2743000000.0	133495341.8	111974180.0	152882764.1
2744000000.0	133508870.8	111981996.4	152905642.9
2745000000.0	133522393.3	111989808.4	152928514.0
2746000000.0	133535909.2	111997615.9	152951377.5
2747000000.0	133549418.6	112005419.1	152974233.3
2748000000.0	133562921.4	112013217.8	152997081.5
2749000000.0	133576417.7	112021012.0	153019922.1
2750000000.0	133589907.4	112028801.9	153042755.1
2751000000.0	133603390.6	112036587.3	153065580.4
2752000000.0	133616867.2	112044368.4	153088398.1
2753000000.0	133630337.4	112052145.0	153111208.3
2754000000.0	133643800.9	112059917.3	153134010.8
2755000000.0	133657258.0	112067685.1	153156805.7
2756000000.0	133670708.6	112075448.5	153179593.0
2757000000.0	133684152.6	112083207.6	153202372.7
2758000000.0	133697590.1	112090962.3	153225144.8
2759000000.0	133711021.2	112098712.6	153247909.3
2760000000.0	133724445.7	112106458.5	153270666.2
2761000000.0	133737863.8	112114200.0	153293415.6
2762000000.0	133751275.3	112121937.2	153316157.4
2763000000.0	133764680.4	112129670.0	153338891.6
2764000000.0	133778079.0	112137398.5	153361618.2
2765000000.0	133791471.1	112145122.6	153384337.3
2766000000.0	133804856.8	112152842.3	153407048.8
2767000000.0	133818236.0	112160557.7	153429752.8
2768000000.0	133831608.7	112168268.7	153452449.2
2769000000.0	133844975.0	112175975.4	153475138.1
2770000000.0	133858334.8	112183677.7	153497819.4
