gene_short_name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,score
HIPP1,9.38222262510414,0.194928846699076,0.44787024635760736,0.6907062426966718,0.48975016545915506,0.7287986385032057,0.3100254086094162
CG3618,3.085379031559814,1.639730370340713,1.1543727162071595,2.3667149227455067,0.017946750669098954,0.07500682910589099,1.7460141707191528
CG11456,3.5633458219803713,0.1007739517563926,0.5950809754352377,0.38963817846687576,0.6968041166751975,0.8664007391517877,0.1568892922081418
CG10585,11.685229635109389,0.04542948420368213,0.40775065623931667,0.16569078223036204,0.8684003004995615,0.948545032418698,0.061280034935168454
CG10584,8.882991616105459,-0.22464029907326125,0.4472686035900503,-0.7916930841041493,0.4285396558500988,0.6784315372659945,0.36800898349575106
CG10581,14.483228758993775,0.9653321866064108,0.6982368981548023,2.2922435378189965,0.02189159391695201,0.08733991090314992,1.6597226164980432
CG10566,4.301755972500996,5.291090430809672,2.097630941328358,2.641624352353482,0.00825095120167439,0.04077368139134188,2.083495981410624
CG10565,27.879733227654963,-0.20778400163010796,0.35798599454707225,-0.7845136777860962,0.432738759384117,0.6819687781258887,0.3637742043326459
CG10512,46.78065517116587,-0.7444391351132832,0.24311809731680425,-3.366970772742031,0.0007599874247881678,0.005880619446845374,3.1191935937590647
CG12975,36.51800883672938,-0.2948986765165949,0.28482449671507337,-1.2468590264882315,0.21244919272527707,0.44977807133237985,0.6727449148245193
CG9391,71.19855130021146,0.024232379965067257,0.19235157209742448,0.13703238005837626,0.891005200939222,0.9598605031103444,0.05011976090968806
CG12974,20.443222467156964,0.022553566028630765,0.6584847922046894,0.09440549964810821,0.9247870472317757,0.9714329829722711,0.033958261703779385
CG11309,30.544862320920487,0.680147997390328,0.5096990344101199,1.9925439655527548,0.04631140629578051,0.1558379944281669,1.3343120309857155
CG7632,9.805147820364024,-1.2129483468149609,0.5293079752194778,-2.932464993779623,0.0033628283112533955,0.01973351998032212,2.473295304965661
CG7338,9.842412509333059,-1.038046260492125,0.652378539308401,-2.4053131667831584,0.016158612040858538,0.06881784342799999,1.7915959460913713
CG7324,30.222953532896163,-0.05473363550775795,0.28139247389467487,-0.23887085685186502,0.8112057243265804,0.924087649864641,0.09086899337233316
ebd2,10.541068101777345,0.2047379188681673,0.43906156284459935,0.726485422246793,0.46754124100848526,0.7085071589349279,0.33018007473274225
CG12971,3.0997050406204596,0.29514625896284097,2.1189258224226584,1.969123153546415,0.048938950641121325,0.16278591056572317,1.3103453471145208
barc,14.387719094945691,0.009752663838803733,0.3896633482482677,0.03520838608855302,0.971913575246904,0.9911890758577946,0.01237235180429627
CG5664,3.5458597161966074,0.025365697508970313,0.5768959853578728,0.09730578247751626,0.9224835640418418,0.9708153693500803,0.035041362957001804
Syx6,31.820503543955596,0.8247353393148299,0.46384728165287287,2.3924684712701363,0.016735465899358787,0.07066764250203693,1.7763621927950493
CG7519,31.682251281778196,-0.4696000867685679,0.29565605575816906,-1.8939625194076044,0.05822998498928873,0.1842762778573608,1.2348533218457771
Est-Q,9.240678910551813,-0.07650086466770883,0.667063195139845,-0.37624433616775643,0.7067352572885983,0.8713626151719212,0.15074324225830907
M6,15.71654320885941,-0.1302660154425888,0.4884612269196669,-0.47199564756547296,0.6369298952643749,0.8286226133252769,0.19590836637002756
Cdk12,6.219838809644751,-0.06168622361421758,0.48783785259538687,-0.22696285382731637,0.8204526267836565,0.9269245152926785,0.08594649019944295
CG7611,64.56728946510911,0.2777158203581874,0.2702961098339664,1.2203941417914195,0.22231549705704223,0.46299405630923607,0.6530302626641312
Wnk,3.1153971729554053,-0.08068749812032802,0.5899762310162919,-0.32213917978171447,0.7473472578194016,0.8935729699935043,0.12647755466169933
CG7172,82.01820670449645,0.05412420688216798,0.31888632707594294,0.2154776707155136,0.8293949193676453,0.9298449335203148,0.08123862932569559
S1P,2.5457774562067663,-0.06964280367767825,0.6135350857078645,-0.29002156013412506,0.7717997435229141,,0.11249537008517363
