TOTAL_READS	EXPECTED_DISTINCT	LOWER_0.95CI	UPPER_0.95CI
8496000000.0	208755064.0	168253805.6	342032399.2
8497000000.0	208760022.3	168256242.4	342056048.6
8498000000.0	208764979.8	168258678.6	342079696.5
8499000000.0	208769936.4	168261114.4	342103342.9
8500000000.0	208774892.1	168263549.8	342126987.8
8501000000.0	208779846.9	168265984.6	342150631.2
8502000000.0	208784800.9	168268418.9	342174273.1
8503000000.0	208789753.9	168270852.7	342197913.5
8504000000.0	208794706.1	168273286.1	342221552.4
8505000000.0	208799657.4	168275718.9	342245189.8
8506000000.0	208804607.9	168278151.3	342268825.7
8507000000.0	208809557.4	168280583.2	342292460.2
8508000000.0	208814506.1	168283014.6	342316093.1
8509000000.0	208819453.9	168285445.5	342339724.6
8510000000.0	208824400.9	168287875.9	342363354.5
8511000000.0	208829346.9	168290305.8	342386982.9
8512000000.0	208834292.1	168292735.2	342410609.9
8513000000.0	208839236.4	168295164.2	342434235.4
8514000000.0	208844179.9	168297592.6	342457859.3
8515000000.0	208849122.4	168300020.6	342481481.8
8516000000.0	208854064.1	168302448.0	342505102.8
8517000000.0	208859004.9	168304875.0	342528722.3
8518000000.0	208863944.8	168307301.5	342552340.2
8519000000.0	208868883.9	168309727.5	342575956.7
8520000000.0	208873822.1	168312153.0	342599571.7
8521000000.0	208878759.4	168314578.1	342623185.2
8522000000.0	208883695.8	168317002.6	342646797.3
8523000000.0	208888631.4	168319426.7	342670407.8
8524000000.0	208893566.1	168321850.2	342694016.8
8525000000.0	208898499.9	168324273.3	342717624.4
8526000000.0	208903432.9	168326695.9	342741230.4
8527000000.0	208908364.9	168329118.0	342764835.0
8528000000.0	208913296.1	168331539.6	342788438.0
8529000000.0	208918226.5	168333960.7	342812039.6
8530000000.0	208923155.9	168336381.4	342835639.7
8531000000.0	208928084.5	168338801.5	342859238.2
8532000000.0	208933012.2	168341221.2	342882835.3
8533000000.0	208937939.1	168343640.4	342906430.9
8534000000.0	208942865.1	168346059.1	342930025.1
8535000000.0	208947790.2	168348477.3	342953617.7
8536000000.0	208952714.4	168350895.0	342977208.8
8537000000.0	208957637.8	168353312.3	343000798.5
8538000000.0	208962560.3	168355729.0	343024386.6
8539000000.0	208967481.9	168358145.3	343047973.3
8540000000.0	208972402.7	168360561.1	343071558.4
8541000000.0	208977322.5	168362976.4	343095142.1
8542000000.0	208982241.6	168365391.2	343118724.3
8543000000.0	208987159.7	168367805.5	343142305.0
8544000000.0	208992077.0	168370219.4	343165884.2
8545000000.0	208996993.4	168372632.7	343189461.9
8546000000.0	209001909.0	168375045.6	343213038.2
8547000000.0	209006823.7	168377458.0	343236612.9
8548000000.0	209011737.5	168379869.9	343260186.2
8549000000.0	209016650.4	168382281.3	343283757.9
8550000000.0	209021562.5	168384692.3	343307328.2
8551000000.0	209026473.7	168387102.7	343330897.0
8552000000.0	209031384.1	168389512.7	343354464.3
8553000000.0	209036293.5	168391922.2	343378030.1
8554000000.0	209041202.2	168394331.2	343401594.4
8555000000.0	209046109.9	168396739.7	343425157.3
8556000000.0	209051016.8	168399147.8	343448718.6
8557000000.0	209055922.8	168401555.3	343472278.5
8558000000.0	209060828.0	168403962.4	343495836.9
8559000000.0	209065732.3	168406369.0	343519393.8
8560000000.0	209070635.7	168408775.1	343542949.2
8561000000.0	209075538.2	168411180.7	343566503.1
8562000000.0	209080439.9	168413585.9	343590055.5
8563000000.0	209085340.8	168415990.5	343613606.5
8564000000.0	209090240.7	168418394.7	343637155.9
8565000000.0	209095139.9	168420798.4	343660703.9
8566000000.0	209100038.1	168423201.6	343684250.4
8567000000.0	209104935.5	168425604.4	343707795.4
8568000000.0	209109832.0	168428006.6	343731338.9
8569000000.0	209114727.6	168430408.4	343754880.9
8570000000.0	209119622.4	168432809.7	343778421.5
8571000000.0	209124516.4	168435210.5	343801960.5
8572000000.0	209129409.4	168437610.8	343825498.1
8573000000.0	209134301.6	168440010.7	343849034.2
8574000000.0	209139193.0	168442410.1	343872568.8
8575000000.0	209144083.5	168444808.9	343896101.9
8576000000.0	209148973.1	168447207.4	343919633.5
8577000000.0	209153861.9	168449605.3	343943163.7
8578000000.0	209158749.8	168452002.7	343966692.4
8579000000.0	209163636.8	168454399.7	343990219.5
8580000000.0	209168523.0	168456796.2	344013745.2
8581000000.0	209173408.3	168459192.2	344037269.5
8582000000.0	209178292.8	168461587.8	344060792.2
8583000000.0	209183176.4	168463982.8	344084313.5
8584000000.0	209188059.1	168466377.4	344107833.2
8585000000.0	209192941.0	168468771.5	344131351.5
8586000000.0	209197822.0	168471165.1	344154868.3
8587000000.0	209202702.2	168473558.2	344178383.6
8588000000.0	209207581.5	168475950.9	344201897.5
